AB BA
AC CA
AD DA
AF FA
AI IA
AL LA
AM MA
AP PA
AR RA
AS SA
AV VA
BC CB
BM MB
BO OB
CD DC
CP PC
CQ QC
CR RC
CS SC
CT TC
CV VC
CW WC
DI ID
DJ JD
DM MD
DP PD
EM ME
EP PE
FM MF
GP PG
HO OH
IR RI
IV VI
JV VJ
KO OK
KP PK
KS SK
MN NM
MP PM
MT TM
NR RN
NT TN
OP PO
OS SO
PR RP
PS SP
PW WP
PX XP
TV VT
ab ba
ac ca
ad da
ae ea
ah ha
al la
am ma
an na
at ta
bd db
bi ib
bk kb
bl lb
bo ob
bs sb
cd dc
ck kc
cp pc
cs sc
cw wc
de ed
di id
do od
dr rd
ds sd
ef fe
eh he
em me
en ne
er re
es se
et te
fm mf
fo of
fp pf
fs sf
gl lg
gm mg
gu ug
ho oh
hs sh
io oi
is si
it ti
iv vi
ix xi
jo oj
km mk
kw wk
lm ml
mo om
mp pm
mu um
no on
nu un
op po
os so
ow wo
oy yo
oz zo
ps sp
qs sq
rt tr
st ts
AAM AMA
ABC CAB
ABM MBA
ABS BSA SBA
ACT ATC CAT
ADC CAD
ADR DAR RDA
AEC CEA
AFC FCA
AFT TAF
AGC GCA
AND DNA NAD
APC CAP CPA PAC
ARC RCA
ATP PTA
ATS SAT
ATV TVA VAT
Apr Arp
Ary Ayr
Blu Bul
CAI CIA
CCD CDC
CFC FCC
CNS NSC
COD OCD
CPR PRC
CPU UPC
DDT DTD TDD
DMT MDT
DOE OED
DPT DTP PDT
DST STD
DUI IUD
Deo Doe
EDT ETD
EEO EOE
EFL ELF
FAD FDA
FDR RFD
FPC PFC
FSH SHF
GOP GPO
GPA PGA
Gao Goa
ILS LSI
INS SIN
IRS RSI
Ian Ina
KOs OKs
Kaw Kwa
LCD LDC
LDL LLD
LXX XXL
Lao Loa
MRA RAM
Mai Mia
Meo Moe
NRA RNA
Neo Noe
PST STP
Rae Rea
Sat Sta
Set Ste
Sir Sri
Tai Tia
Tiw Twi
UBS USB
UPS USP
aah aha
aal ala laa
aba baa
abl alb bal lab
abo boa oba
abr arb bar bra
abs bas sab
aby bay
act cat
add dad
ado oda
ads das sad
aft fat
ago goa
agr gar rag
ags gas sag
ahs ash has sha
aim ami
air rai ria
ais sai
ait ita tai
ake kae kea
ale ela lea
alg gal lag
alp lap pal
als las sal
alt lat
ama maa
amp map pam
amt atm mat tam
and dan
ane ean nae
ans nas san
ant nat tan
any nay
ape pea
app pap
apt pat tap
arc car
ard rad
are ear era
arf far fra
arm mar ram
ars ras sar
art rat tar
ary ray rya yar
ask kas ska
asp pas sap spa
ate eat eta tea
att tat
aug gau
ave vae
avn nav van
avo ova
awe wae
awl law
awn naw wan
aws saw was
aye yea
ays say
azo zoa
bad dab
bag gab
ban nab
bat tab
bdl dbl
bed deb
ben neb
bey bye
bid dib
big gib
bin nib
bio obi
bis sib
bob obb
bod dob
bog gob
boh hob
bok kob
boo obo
bor bro orb rob
bos obs sob
boy yob
bud dub
bug gub
bun nub
bur rub urb
bus sub
but tub
cal lac
cam mac
cap pac
cen enc
cep pec
chi hic ich
chs sch
cis sci sic
cit tic
cly cyl
cod doc
com moc
cor orc roc
cos soc
cot oct toc
cpu cup
cru cur ruc
cue ecu
dag gad
dah had
dal lad
dam mad
dap pad
dat tad
daw wad
def fed
deg ged
del eld led
den end ned
dep ped
der red
dew wed
dex xed
dey dye
die ide
dif fid
dig gid
dim mid
din ind nid
dip dpi
dir rid
dis ids
dit tid
div vid
dod odd
doe ode
dog god
dol old
dom mod
don nod
dop pod
dor ord rod
dos dso ods sod
dot tod
doz dzo
duo oud udo
dup pud
eas sea
edh hed
eds sed
eek eke
eel lee
een ene
efs fes
eft fet tef
ego geo
ehs hes she
elk lek
elm lem mel
els les sel sle
elt let tel
emf fem
ems mes sem
emu meu
eng gen neg
ens sen
eon one
ere ree
erf fer ref
erg ger reg
ers res ser
ert rte ter
esc sec
esp pes
est set tes
eth het the
euk kue uke
eve vee
ewe wee
exr rex
fen nef
fig gif
fin inf
fir rif
foo oof
for fro orf
fou ufo
fps psf
gam mag
gan nag
gat tag
gay yag
gaz zag
gds sgd
gel leg
gem meg
get teg
gig igg
gin ign
gis sig
git tig
gju jug
gnu gun
gor gro org
gos sog
got tog
goy ygo
gul lug
gum mug
gup pug
gur rug
gus ugs
gut tug
guv vug
guy yug
han nah
hao hoa
hap pah
haw wha
hay yah
hep peh
her reh
hey hye yeh
hip phi
his ish
hoc och
hon noh
hoo oho ooh
hop pho poh
hor rho
hos ohs
hot tho
how who
hrs shr
hug ugh
hwy why
ink kin
ins nis sin
int nit tin
inv vin
ios ois
ire rei
irk kir
isl lis
ism mis sim
its sit tis
jar raj
job obj
kam mak
kay yak
ken nek
key kye
koa oak oka
koi oik
kor rok
kyu yuk
lam mal
lav val
lei lie
leu ule
lev vel
ley lye
lez zel
lin nil
lit til
lix lxi
lop pol
los sol
low owl
lvi vil
man mna nam
mas sam
